t1,t2,dist
70_1244669661_secvec.tree,70_739551470_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_253858418_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_785584062_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_1047465157_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1972657440_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_921996827_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_135256173_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_363191729_secvec.tree,0.8
70_1508361862_secvec.tree,70_1705755540_secvec.tree,0.8
70_1508361862_secvec.tree,70_1976713520_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_491711605_secvec.tree,0.6857142857142857
70_1508361862_secvec.tree,70_305080242_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_66706771_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_666612403_secvec.tree,0.8
70_1508361862_secvec.tree,70_2125638508_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_703039130_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_1871503287_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1985581878_secvec.tree,0.9714285714285714
70_1508361862_secvec.tree,70_1114260441_secvec.tree,0.8
70_1508361862_secvec.tree,70_1852002862_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1227020512_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_1086681291_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1003024478_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_326668592_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_1618441396_secvec.tree,0.6857142857142857
70_1508361862_secvec.tree,70_1867380093_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1768786612_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_1046741270_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_356357425_secvec.tree,0.8
70_1508361862_secvec.tree,70_2095580891_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1562603028_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_1701505624_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_270824247_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_971826652_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_739509613_secvec.tree,0.8
70_1508361862_secvec.tree,70_1545293443_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1153842534_secvec.tree,0.6285714285714286
70_1508361862_secvec.tree,70_1728264162_secvec.tree,0.8857142857142857
70_1508361862_secvec.tree,70_1710464334_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_259002918_secvec.tree,0.8
70_1508361862_secvec.tree,70_1008232583_secvec.tree,0.8
70_1508361862_secvec.tree,70_298950997_secvec.tree,0.8
70_1508361862_secvec.tree,70_363992408_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_882898072_secvec.tree,0.8
70_1508361862_secvec.tree,70_762196549_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1725136912_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_1925429759_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_957303729_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1433197115_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_558457431_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_169940778_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1447472709_secvec.tree,0.8
70_1508361862_secvec.tree,70_1983953279_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_624590483_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_465866622_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_188283321_secvec.tree,0.9714285714285714
70_1508361862_secvec.tree,70_1212766085_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_813881864_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_1673931482_secvec.tree,0.8571428571428571
70_1508361862_secvec.tree,70_1866014876_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_1920497960_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_2067490204_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1465090851_secvec.tree,0.8857142857142857
70_1508361862_secvec.tree,70_439907814_secvec.tree,0.8857142857142857
70_1508361862_secvec.tree,70_1685717162_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_817783864_secvec.tree,0.8
70_1508361862_secvec.tree,70_1051923333_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_1192190808_secvec.tree,0.8
70_1508361862_secvec.tree,70_2056060556_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_744516122_secvec.tree,0.8
70_1508361862_secvec.tree,70_798599381_secvec.tree,0.8
70_1508361862_secvec.tree,70_1426398279_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_1944591833_secvec.tree,0.7428571428571429
70_1508361862_secvec.tree,70_326259443_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_238409920_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_1079246371_secvec.tree,0.7142857142857143
70_1508361862_secvec.tree,70_262335111_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_283927635_secvec.tree,0.8285714285714286
70_1508361862_secvec.tree,70_1630817431_secvec.tree,0.7714285714285715
70_1508361862_secvec.tree,70_97474268_secvec.tree,0.6571428571428571
70_1508361862_secvec.tree,70_739551470_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_785584062_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1047465157_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1972657440_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_921996827_secvec.tree,0.8
70_253858418_secvec.tree,70_135256173_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_363191729_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_1705755540_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1976713520_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_491711605_secvec.tree,0.6285714285714286
70_253858418_secvec.tree,70_305080242_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_66706771_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_666612403_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_2125638508_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_703039130_secvec.tree,0.8
70_253858418_secvec.tree,70_1871503287_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1985581878_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_1114260441_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_1852002862_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1227020512_secvec.tree,0.9428571428571428
70_253858418_secvec.tree,70_1086681291_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1003024478_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_326668592_secvec.tree,0.8
70_253858418_secvec.tree,70_1618441396_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1867380093_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1768786612_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1046741270_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_356357425_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_2095580891_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1562603028_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1701505624_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_270824247_secvec.tree,0.8
70_253858418_secvec.tree,70_971826652_secvec.tree,0.8
70_253858418_secvec.tree,70_739509613_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1545293443_secvec.tree,0.8
70_253858418_secvec.tree,70_1153842534_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_1728264162_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_1710464334_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_259002918_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_1008232583_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_298950997_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_363992408_secvec.tree,0.5714285714285714
70_253858418_secvec.tree,70_882898072_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_762196549_secvec.tree,0.8
70_253858418_secvec.tree,70_1725136912_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_1925429759_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_957303729_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_1433197115_secvec.tree,0.9142857142857143
70_253858418_secvec.tree,70_558457431_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_169940778_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1447472709_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1983953279_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_624590483_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_465866622_secvec.tree,0.6571428571428571
70_253858418_secvec.tree,70_188283321_secvec.tree,0.9142857142857143
70_253858418_secvec.tree,70_1212766085_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_813881864_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1673931482_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1866014876_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1920497960_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_2067490204_secvec.tree,0.8285714285714286
70_253858418_secvec.tree,70_1465090851_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_439907814_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1685717162_secvec.tree,0.8
70_253858418_secvec.tree,70_817783864_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_1051923333_secvec.tree,0.8571428571428571
70_253858418_secvec.tree,70_1192190808_secvec.tree,0.8
70_253858418_secvec.tree,70_2056060556_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_744516122_secvec.tree,0.8
70_253858418_secvec.tree,70_798599381_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_1426398279_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_1944591833_secvec.tree,0.7428571428571429
70_253858418_secvec.tree,70_326259443_secvec.tree,0.8
70_253858418_secvec.tree,70_238409920_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1079246371_secvec.tree,0.7142857142857143
70_253858418_secvec.tree,70_262335111_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_283927635_secvec.tree,0.6857142857142857
70_253858418_secvec.tree,70_1630817431_secvec.tree,0.8
70_253858418_secvec.tree,70_97474268_secvec.tree,0.7714285714285715
70_253858418_secvec.tree,70_739551470_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1047465157_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1972657440_secvec.tree,0.6571428571428571
70_785584062_secvec.tree,70_921996827_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_135256173_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_363191729_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1705755540_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1976713520_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_491711605_secvec.tree,0.8
70_785584062_secvec.tree,70_305080242_secvec.tree,0.8
70_785584062_secvec.tree,70_66706771_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_666612403_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_2125638508_secvec.tree,0.8857142857142857
70_785584062_secvec.tree,70_703039130_secvec.tree,0.8
70_785584062_secvec.tree,70_1871503287_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1985581878_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1114260441_secvec.tree,0.6857142857142857
70_785584062_secvec.tree,70_1852002862_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1227020512_secvec.tree,1.0
70_785584062_secvec.tree,70_1086681291_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_1003024478_secvec.tree,0.6857142857142857
70_785584062_secvec.tree,70_326668592_secvec.tree,0.8
70_785584062_secvec.tree,70_1618441396_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_1867380093_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1768786612_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1046741270_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_356357425_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_2095580891_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_1562603028_secvec.tree,0.7142857142857143
70_785584062_secvec.tree,70_1701505624_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_270824247_secvec.tree,0.8
70_785584062_secvec.tree,70_971826652_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_739509613_secvec.tree,0.9428571428571428
70_785584062_secvec.tree,70_1545293443_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1153842534_secvec.tree,0.6
70_785584062_secvec.tree,70_1728264162_secvec.tree,0.8857142857142857
70_785584062_secvec.tree,70_1710464334_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_259002918_secvec.tree,0.7142857142857143
70_785584062_secvec.tree,70_1008232583_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_298950997_secvec.tree,0.6285714285714286
70_785584062_secvec.tree,70_363992408_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_882898072_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_762196549_secvec.tree,0.6857142857142857
70_785584062_secvec.tree,70_1725136912_secvec.tree,0.8
70_785584062_secvec.tree,70_1925429759_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_957303729_secvec.tree,0.8
70_785584062_secvec.tree,70_1433197115_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_558457431_secvec.tree,0.8857142857142857
70_785584062_secvec.tree,70_169940778_secvec.tree,0.7142857142857143
70_785584062_secvec.tree,70_1447472709_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_1983953279_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_624590483_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_465866622_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_188283321_secvec.tree,0.8857142857142857
70_785584062_secvec.tree,70_1212766085_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_813881864_secvec.tree,0.7142857142857143
70_785584062_secvec.tree,70_1673931482_secvec.tree,0.8
70_785584062_secvec.tree,70_1866014876_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1920497960_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_2067490204_secvec.tree,0.6571428571428571
70_785584062_secvec.tree,70_1465090851_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_439907814_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1685717162_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_817783864_secvec.tree,0.6285714285714286
70_785584062_secvec.tree,70_1051923333_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_1192190808_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_2056060556_secvec.tree,0.7428571428571429
70_785584062_secvec.tree,70_744516122_secvec.tree,0.8571428571428571
70_785584062_secvec.tree,70_798599381_secvec.tree,0.8285714285714286
70_785584062_secvec.tree,70_1426398279_secvec.tree,0.8
70_785584062_secvec.tree,70_1944591833_secvec.tree,0.6857142857142857
70_785584062_secvec.tree,70_326259443_secvec.tree,0.8
70_785584062_secvec.tree,70_238409920_secvec.tree,0.6857142857142857
70_785584062_secvec.tree,70_1079246371_secvec.tree,0.7142857142857143
70_785584062_secvec.tree,70_262335111_secvec.tree,0.8
70_785584062_secvec.tree,70_283927635_secvec.tree,0.8
70_785584062_secvec.tree,70_1630817431_secvec.tree,0.8857142857142857
70_785584062_secvec.tree,70_97474268_secvec.tree,0.7714285714285715
70_785584062_secvec.tree,70_739551470_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_1972657440_secvec.tree,0.8571428571428571
70_1047465157_secvec.tree,70_921996827_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_135256173_secvec.tree,0.8857142857142857
70_1047465157_secvec.tree,70_363191729_secvec.tree,0.8571428571428571
70_1047465157_secvec.tree,70_1705755540_secvec.tree,0.8
70_1047465157_secvec.tree,70_1976713520_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_491711605_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_305080242_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_66706771_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_666612403_secvec.tree,0.8
70_1047465157_secvec.tree,70_2125638508_secvec.tree,0.8
70_1047465157_secvec.tree,70_703039130_secvec.tree,0.8571428571428571
70_1047465157_secvec.tree,70_1871503287_secvec.tree,0.8857142857142857
70_1047465157_secvec.tree,70_1985581878_secvec.tree,0.9428571428571428
70_1047465157_secvec.tree,70_1114260441_secvec.tree,0.9142857142857143
70_1047465157_secvec.tree,70_1852002862_secvec.tree,0.9142857142857143
70_1047465157_secvec.tree,70_1227020512_secvec.tree,0.8857142857142857
70_1047465157_secvec.tree,70_1086681291_secvec.tree,0.8
70_1047465157_secvec.tree,70_1003024478_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_326668592_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_1618441396_secvec.tree,0.6571428571428571
70_1047465157_secvec.tree,70_1867380093_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_1768786612_secvec.tree,0.5428571428571428
70_1047465157_secvec.tree,70_1046741270_secvec.tree,0.7428571428571429
70_1047465157_secvec.tree,70_356357425_secvec.tree,0.8571428571428571
70_1047465157_secvec.tree,70_2095580891_secvec.tree,0.8285714285714286
70_1047465157_secvec.tree,70_1562603028_secvec.tree,0.8
70_1047465157_secvec.tree,70_1701505624_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_270824247_secvec.tree,0.7714285714285715
70_1047465157_secvec.tree,70_971826652_secvec.tree,0.8571428571428571
70_1047465157_secvec.tree,70_739509613_secvec.tree,0.9142857142857143
70_1047465157_secvec.tree,70_1545293443_secvec.tree,0.7428571428571429
70_1047465157_secvec.tree,70_1153842534_secvec.tree,0.7428571428571429
